#  This is a file for the AB reference system.
#  
#  
#  The columns are: wavelengths, flux reference.
#  With the following units:
#      Angstroms        ,   ergs/s/cm^2/Angstrom
1.077000000000000000e+03 , 9.384595220897139582e-08
1.078000000000000000e+03 , 9.367192173698285126e-08
1.079000000000000000e+03 , 9.349837490674179653e-08
1.080000000000000000e+03 , 9.332530992781205029e-08
1.081000000000000000e+03 , 9.315272501803499450e-08
1.082000000000000000e+03 , 9.298061840348364935e-08
1.083000000000000000e+03 , 9.280898831841715848e-08
1.084000000000000000e+03 , 9.263783300523547273e-08
1.085000000000000000e+03 , 9.246715071443435147e-08
1.086000000000000000e+03 , 9.229693970456062873e-08
1.087000000000000000e+03 , 9.212719824216781011e-08
1.088000000000000000e+03 , 9.195792460177198738e-08
1.089000000000000000e+03 , 9.178911706580791185e-08
1.090000000000000000e+03 , 9.162077392458545162e-08
1.091000000000000000e+03 , 9.145289347624635318e-08
1.092000000000000000e+03 , 9.128547402672112211e-08
1.093000000000000000e+03 , 9.111851388968642005e-08
1.094000000000000000e+03 , 9.095201138652244824e-08
1.095000000000000000e+03 , 9.078596484627091363e-08
1.096000000000000000e+03 , 9.062037260559298153e-08
1.097000000000000000e+03 , 9.045523300872769166e-08
1.098000000000000000e+03 , 9.029054440745051968e-08
1.099000000000000000e+03 , 9.012630516103230933e-08
1.100000000000000000e+03 , 8.996251363619832367e-08
1.101000000000000000e+03 , 8.979916820708774635e-08
1.102000000000000000e+03 , 8.963626725521323574e-08
1.103000000000000000e+03 , 8.947380916942090267e-08
1.104000000000000000e+03 , 8.931179234585038073e-08
1.105000000000000000e+03 , 8.915021518789539957e-08
1.106000000000000000e+03 , 8.898907610616429195e-08
1.107000000000000000e+03 , 8.882837351844099054e-08
1.108000000000000000e+03 , 8.866810584964614382e-08
1.109000000000000000e+03 , 8.850827153179858930e-08
1.110000000000000000e+03 , 8.834886900397693265e-08
1.111000000000000000e+03 , 8.818989671228148413e-08
1.112000000000000000e+03 , 8.803135310979631422e-08
1.113000000000000000e+03 , 8.787323665655177233e-08
1.114000000000000000e+03 , 8.771554581948691300e-08
1.115000000000000000e+03 , 8.755827907241246470e-08
1.116000000000000000e+03 , 8.740143489597382501e-08
1.117000000000000000e+03 , 8.724501177761443973e-08
1.118000000000000000e+03 , 8.708900821153924810e-08
1.119000000000000000e+03 , 8.693342269867851185e-08
1.120000000000000000e+03 , 8.677825374665177659e-08
1.121000000000000000e+03 , 8.662349986973207143e-08
1.122000000000000000e+03 , 8.646915958881038656e-08
1.123000000000000000e+03 , 8.631523143136029634e-08
1.124000000000000000e+03 , 8.616171393140283397e-08
1.125000000000000000e+03 , 8.600860562947159101e-08
1.126000000000000000e+03 , 8.585590507257806852e-08
1.127000000000000000e+03 , 8.570361081417713390e-08
1.128000000000000000e+03 , 8.555172141413282205e-08
1.129000000000000000e+03 , 8.540023543868429513e-08
1.130000000000000000e+03 , 8.524915146041192160e-08
1.131000000000000000e+03 , 8.509846805820376544e-08
1.132000000000000000e+03 , 8.494818381722207547e-08
1.133000000000000000e+03 , 8.479829732887014509e-08
1.134000000000000000e+03 , 8.464880719075923839e-08
1.135000000000000000e+03 , 8.449971200667583372e-08
1.136000000000000000e+03 , 8.435101038654903945e-08
1.137000000000000000e+03 , 8.420270094641810228e-08
1.138000000000000000e+03 , 8.405478230840031262e-08
1.139000000000000000e+03 , 8.390725310065896299e-08
1.140000000000000000e+03 , 8.376011195737147832e-08
1.141000000000000000e+03 , 8.361335751869793019e-08
1.142000000000000000e+03 , 8.346698843074949811e-08
1.143000000000000000e+03 , 8.332100334555728806e-08
1.144000000000000000e+03 , 8.317540092104134966e-08
1.145000000000000000e+03 , 8.303017982097975947e-08
1.146000000000000000e+03 , 8.288533871497795571e-08
1.147000000000000000e+03 , 8.274087627843833774e-08
1.148000000000000000e+03 , 8.259679119252994496e-08
1.149000000000000000e+03 , 8.245308214415833414e-08
1.150000000000000000e+03 , 8.230974782593572156e-08
1.151000000000000000e+03 , 8.216678693615115152e-08
1.152000000000000000e+03 , 8.202419817874106200e-08
1.153000000000000000e+03 , 8.188198026325982376e-08
1.154000000000000000e+03 , 8.174013190485057064e-08
1.155000000000000000e+03 , 8.159865182421617548e-08
1.156000000000000000e+03 , 8.145753874759041124e-08
1.157000000000000000e+03 , 8.131679140670928429e-08
1.158000000000000000e+03 , 8.117640853878252642e-08
1.159000000000000000e+03 , 8.103638888646529864e-08
1.160000000000000000e+03 , 8.089673119782994797e-08
1.161000000000000000e+03 , 8.075743422633817439e-08
1.162000000000000000e+03 , 8.061849673081307885e-08
1.163000000000000000e+03 , 8.047991747541159491e-08
1.164000000000000000e+03 , 8.034169522959694698e-08
1.165000000000000000e+03 , 8.020382876811138642e-08
1.166000000000000000e+03 , 8.006631687094903359e-08
1.167000000000000000e+03 , 7.992915832332883891e-08
1.168000000000000000e+03 , 7.979235191566779549e-08
1.169000000000000000e+03 , 7.965589644355428404e-08
1.170000000000000000e+03 , 7.951979070772152370e-08
1.171000000000000000e+03 , 7.938403351402123458e-08
1.172000000000000000e+03 , 7.924862367339747240e-08
1.173000000000000000e+03 , 7.911356000186054254e-08
1.174000000000000000e+03 , 7.897884132046120519e-08
1.175000000000000000e+03 , 7.884446645526481443e-08
1.176000000000000000e+03 , 7.871043423732586752e-08
1.177000000000000000e+03 , 7.857674350266252771e-08
1.178000000000000000e+03 , 7.844339309223135886e-08
1.179000000000000000e+03 , 7.831038185190219238e-08
1.180000000000000000e+03 , 7.817770863243319271e-08
1.181000000000000000e+03 , 7.804537228944600218e-08
1.182000000000000000e+03 , 7.791337168340101823e-08
1.183000000000000000e+03 , 7.778170567957302799e-08
1.184000000000000000e+03 , 7.765037314802660463e-08
1.185000000000000000e+03 , 7.751937296359200661e-08
1.186000000000000000e+03 , 7.738870400584105047e-08
1.187000000000000000e+03 , 7.725836515906310277e-08
1.188000000000000000e+03 , 7.712835531224136311e-08
1.189000000000000000e+03 , 7.699867335902909436e-08
1.190000000000000000e+03 , 7.686931819772614385e-08
1.191000000000000000e+03 , 7.674028873125546479e-08
1.192000000000000000e+03 , 7.661158386713998159e-08
1.193000000000000000e+03 , 7.648320251747936269e-08
1.194000000000000000e+03 , 7.635514359892707123e-08
1.195000000000000000e+03 , 7.622740603266748192e-08
1.196000000000000000e+03 , 7.609998874439322296e-08
1.197000000000000000e+03 , 7.597289066428253106e-08
1.198000000000000000e+03 , 7.584611072697679191e-08
1.199000000000000000e+03 , 7.571964787155822612e-08
1.200000000000000000e+03 , 7.559350104152777371e-08
1.201000000000000000e+03 , 7.546766918478285951e-08
1.202000000000000000e+03 , 7.534215125359562178e-08
1.203000000000000000e+03 , 7.521694620459103490e-08
